range	owner	min	max
1	Norman Morrison	1	999999
10	ENVO-P, E-NumberOf-E	9400000	9499999
11	Kai Blumberg pattern generated terms	3100001	3200000
13	chemical_concentration.yaml yaml design pattern	3200001	3300000
14	ebi_biomes.csv robot design pattern	3300001	3400000
15	Ruth Duerr	3400001	3500000
16	Anne Thessen	3500001	3501000
17	Anton Van de Putte	3501001	3501100
2	Pier Luigi Buttigieg	1000000	1999999
20	Raissa Meyer	3520000	3529999
21	Brandon Whitehead	6000000	6100000
22	Jimena Linares	6100001	6105000
23	Mei-Chen Liu	6105001	6105100
24	Isabella Maria Wilkie	6105101	6105200
25	National Microbiome Data Collaborative	3600000	3600099
26	Agronomy Ontology	6105201	6105499
27	ANZ Soil and Land survey	5000000	5100000
28	Alicia Clum	3600100	3604999
29	Mark Andrew Miller	3605000	3609999
3	Chris Mungall	2000000	2999999
4	TermGenie	8000000	8999999
5	ENVO-P, E-A-L	9000000	9099999
6	ENVO-P, E-Q-L	9100000	9199999
7	ENVO-P, E-A	9200000	9299999
8	Kai Blumberg	3000000	3100000
9	ENVO-P, E-Content-E	9300000	9399999
