?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001527>	"plastic-frozen soil"	
<http://purl.obolibrary.org/obo/ENVO_00002250>	"plinthosol"	
<http://purl.obolibrary.org/obo/ENVO_00002257>	"podzol"	
<http://purl.obolibrary.org/obo/ENVO_00003093>	"poly-beta-hydroxybutyrate enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005764>	"pond soil"	
<http://purl.obolibrary.org/obo/ENVO_00003095>	"quinate enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005790>	"red soil"	
<http://purl.obolibrary.org/obo/ENVO_00002256>	"regosol"	
<http://purl.obolibrary.org/obo/ENVO_00005743>	"roadside soil"	
<http://purl.obolibrary.org/obo/ENVO_00005788>	"rubber plantation soil"	
<http://purl.obolibrary.org/obo/ENVO_00003092>	"salicylate enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005775>	"salt contaminated soil"	
<http://purl.obolibrary.org/obo/ENVO_00003083>	"sarcosine enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005746>	"savanna soil"	
<http://purl.obolibrary.org/obo/ENVO_00005752>	"sawah soil"	
<http://purl.obolibrary.org/obo/ENVO_00003085>	"skatole enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"	
<http://purl.obolibrary.org/obo/ENVO_00002252>	"solonchak"	
<http://purl.obolibrary.org/obo/ENVO_00002255>	"solonetz"	
<http://purl.obolibrary.org/obo/ENVO_00005784>	"spruce forest soil"	
<http://purl.obolibrary.org/obo/ENVO_00002274>	"stagnosol"	
<http://purl.obolibrary.org/obo/ENVO_00005777>	"steppe soil"	
<http://purl.obolibrary.org/obo/ENVO_02000059>	"surface soil"	
<http://purl.obolibrary.org/obo/ENVO_00002275>	"technosol"	
<http://purl.obolibrary.org/obo/ENVO_00003089>	"testosterone enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00003091>	"threonine enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00003084>	"trimethylamine enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005778>	"tropical soil"	
<http://purl.obolibrary.org/obo/ENVO_01001397>	"ultisol"	
<http://purl.obolibrary.org/obo/ENVO_00002253>	"umbrisol"	
<http://purl.obolibrary.org/obo/ENVO_00005786>	"upland soil"	
<http://purl.obolibrary.org/obo/ENVO_00005753>	"urea enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005779>	"vegetable garden soil"	
<http://purl.obolibrary.org/obo/ENVO_00002254>	"vertisol"	
<http://purl.obolibrary.org/obo/ENVO_01001841>	"volcanic soil"	
<http://purl.obolibrary.org/obo/ENVO_00002146>	"xylene contaminated soil"	
