?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01000563>	"central-draught lamp"	"A central-draught lamp is a paraffin lamp which burns a parrafin saturated, tubular wick contained between two structural tubes and supplied with oxygen by a central draught of air through the innermost of these tube."
<http://purl.obolibrary.org/obo/ENVO_01000586>	"chair"	"A chair is a piece of furniture with a raised surface commonly used to seat a single person."
<http://purl.obolibrary.org/obo/ENVO_2000000>	"chemical product"	"A manufactured product that is some mixture of chemicals created through some chemical engineering process"
<http://purl.obolibrary.org/obo/ENVO_01000529>	"chemical toilet fixture"	"A chemical toilet fixture is a toilet fixture which uses chemicals to deodorise and treat excreta which is stored in the fixture."
<http://purl.obolibrary.org/obo/ENVO_01000596>	"clock"	"A clock is an instrument which may indicate, keep, and/or co-ordinate time."
<http://purl.obolibrary.org/obo/ENVO_01000619>	"closed ecological system"	"A closed ecological system is a vivarium which does not rely on matter exchange with any part outside the system."
<http://purl.obolibrary.org/obo/ENVO_02000058>	"cloth"	"A textile comprised of a pliable material made usually by weaving, felting, or knitting natural or synthetic fibers and filaments."
<http://purl.obolibrary.org/obo/ENVO_01000571>	"cold-blast paraffin lantern"	"A cold-blast paraffin lantern is a tubular paraffin lantern which collects cool air from around the top of the lantern globe and circulates it, through metal tubes, to the burning wick."
<http://purl.obolibrary.org/obo/ENVO_00002153>	"compost biofilter"	
<http://purl.obolibrary.org/obo/ENVO_01000550>	"composting toilet"	"A composting toilet fixture is a dry toilet fixture in which managed, aerobic decomposition converts human excreta into organic matter suitable for the fertilisation or amendment of soils."
<http://purl.obolibrary.org/obo/ENVO_01000456>	"concrete masonry unit"	"A concrete masonry unit is a large, rectangular masonry unit primarily composed of concrete."
<http://purl.obolibrary.org/obo/ENVO_00003893>	"cosmetic product"	
<http://purl.obolibrary.org/obo/ENVO_2000001>	"creosote"	"The portion of chemical products obtained by the distillation of a tar that remains heavier than water, notably useful for its anti-septic and preservative properties"
<http://purl.obolibrary.org/obo/ENVO_01000595>	"cupboard"	"A cupboard is a cabinet which is used indoors to store household objects such as food, crockery, textiles and liquor, and to protect them from dust and dirt"
<http://purl.obolibrary.org/obo/ENVO_00003896>	"currency note"	
<http://purl.obolibrary.org/obo/ENVO_01000569>	"dead flame paraffin lantern"	"A dead-flame paraffin lantern is a paraffin lantern which has a wick housed in a glass globe with airflow channelled upwards by vents below the burning wick and an open chimney above it."
<http://purl.obolibrary.org/obo/ENVO_01000585>	"desk"	"A desk is a table which is intended for information-manipulation tasks, including writing and use of interactive electronics."
<http://purl.obolibrary.org/obo/ENVO_01000868>	"domestic solar panel array"	"A solar panel array that is integrated into the power system of a human dwelling."
