?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01000531>	"covered latrine"	"A covered latrine is a building which comprises a latrine sheltered by an outhouse."
<http://purl.obolibrary.org/obo/ENVO_01000532>	"covered pit latrine"	"A covered pit latrine is a building which comprises a pit latrine sheltered by an outhouse."
<http://purl.obolibrary.org/obo/ENVO_01000533>	"covered pit latrine with slab floor"	"A covered pit latrine with slab is a building which comprises a pit latrine with a slab floor sheltered by an outhouse."
<http://purl.obolibrary.org/obo/ENVO_00003041>	"cow shed"	"An animal house which is used to shelter cows."
<http://purl.obolibrary.org/obo/ENVO_00000514>	"crater"	"A generally circular saucer or bowl-shaped depression caused by explosive action."
<http://purl.obolibrary.org/obo/ENVO_01001062>	"crater lake"	"A lake contained within a crater."
<http://purl.obolibrary.org/obo/ENVO_00003967>	"creamery"	"A creamery is a part of a dairy where cream is separated from whole milk."
<http://purl.obolibrary.org/obo/ENVO_00002117>	"creosote contaminated soil"	"Soil which has elevated concentrations of creosote."
<http://purl.obolibrary.org/obo/ENVO_00000320>	"crevasse"	"A deep fissure in snow or ice."
<http://purl.obolibrary.org/obo/ENVO_01000294>	"crevice"	"A deep fissure in rock."
<http://purl.obolibrary.org/obo/ENVO_01001241>	"crop canopy"	"A canopy which is composed of the aboveground portion, or crowns, of a community of crop plants."
<http://purl.obolibrary.org/obo/ENVO_01000245>	"cropland biome"	"A cropland ecosystem which is undergoing climactic ecological succession."
<http://purl.obolibrary.org/obo/ENVO_01001244>	"cropland ecosystem"	"An ecosystem which 1) is determined by communities of annual crops, perennial woody crops, or by actively tilled land, 2) is primarily used for agricultural activity, and 3) contains no village or larger human settlement."
<http://purl.obolibrary.org/obo/ENVO_03000039>	"cryoconite hole"	"A vertical thaw hole within an ice mass, formed as a result of ice melt associated with local temperature increases, due to increased absorption of solar radiation by cryoconite deposits."
<http://purl.obolibrary.org/obo/ENVO_03000110>	"cryoform"	"A solid astronomical body part which is primarily composed of a continuous mass of snow and/or ice."
<http://purl.obolibrary.org/obo/ENVO_01001559>	"cryopeg"	"A layer which is composed of ground that 1) remains unfrozen due to increased solute concentration and 2) is present within a mass of permafrost."
<http://purl.obolibrary.org/obo/ENVO_00002236>	"cryosol"	"Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes."
<http://purl.obolibrary.org/obo/ENVO_03000143>	"cryosphere"	"An astronomical body part which is composed primarily of environmental materials in their frozen form."
<http://purl.obolibrary.org/obo/ENVO_01001609>	"cryospheric layer"	"A layer which is part of a cryosphere."
<http://purl.obolibrary.org/obo/ENVO_00000474>	"cut"	"An excavation of the Earth's surface to provide passage for a road, railway, canal, etc."
<http://purl.obolibrary.org/obo/ENVO_00000523>	"cutoff"	"A channel formed as a result of a stream cutting through a meander neck."
<http://purl.obolibrary.org/obo/ENVO_03600071>	"cyanobacterial bloom"	"A feature which arises from a rapid multiplication of cyanobacteria, causing marked visible discoloration of the water."
<http://purl.obolibrary.org/obo/ENVO_01000440>	"dacitic volcano"	"A volcano which has been formed as a result of the eruption of dacitic lava."
<http://purl.obolibrary.org/obo/ENVO_00003862>	"dairy"	"A dairy is a building in which animal milk is harvested and, optionally, processed for human consumption."
<http://purl.obolibrary.org/obo/ENVO_00000074>	"dam"	"A barrier constructed across a watercourse to control the flow or raise the level of water."
<http://purl.obolibrary.org/obo/ENVO_01000927>	"day care building"	"A building which is used to care for a human child during the working day by a person, outside the child's immediate family, other than that child's legal guardians."
<http://purl.obolibrary.org/obo/ENVO_03501335>	"day care facility"	"A child care facility in which day care services are provided, by specialized staff and equipment, to a human child during the working day."
<http://purl.obolibrary.org/obo/ENVO_00000030>	"dead cave"	"A cave without streams or drips of water."
<http://purl.obolibrary.org/obo/ENVO_01000936>	"dedicated campground"	"A campground which has been modified by humans to provide and maintain facilities for camping such as fire pits, road access, latrines, and garbage bins."
<http://purl.obolibrary.org/obo/ENVO_01000098>	"deep ocean current"	"A marine current that generally occurs below the permanent thermocline (where it occurs) or below 400 m depth and that is driven by density and temperature gradients."
<http://purl.obolibrary.org/obo/ENVO_01000970>	"delicatessen"	"A food shop which sells a selection of food products that are not typical dietary components of the human population it is co-located with."
<http://purl.obolibrary.org/obo/ENVO_00000439>	"dell"	"A small wooded valley, either U- or V-shaped."
<http://purl.obolibrary.org/obo/ENVO_00000101>	"delta"	"A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river."
<http://purl.obolibrary.org/obo/ENVO_01000658>	"dense settlement"	"A settlement with a high density of buildings and inhabitants."
<http://purl.obolibrary.org/obo/ENVO_01000248>	"dense settlement biome"	"A dense settlement biome is an anthropogenic terrestrial biome which is primarily used for human habitation, recreation, and industry within built structures with little other land use."
<http://purl.obolibrary.org/obo/ENVO_03501185>	"dental clinic"	"A medical clinic which is used to provide medical services focused on maintaining and improving the oral health of clients."
<http://purl.obolibrary.org/obo/ENVO_1000750>	"depositional island"	"An island formed by deposition of solid material such as sand or small rocks where a water current loses some of its carrying capacity."
<http://purl.obolibrary.org/obo/ENVO_00000309>	"depressed landform"	"A landform sunken or depressed below the surrounding area."
<http://purl.obolibrary.org/obo/ENVO_01001357>	"desert"	"A landform which has been rendered barren or partially barren by environmental extremes, especially by low rainfall, and which loses more liquid water by evapotranspiration than is supplied by precipitation."
