?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001385>	"Bathymodiolus-dominated oceanic mussel reef"	"An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells"
<http://purl.obolibrary.org/obo/ENVO_03510014>	"India ink"	"A black or colored ink which is 1) used for writing, printing, and drawing and 2) made from fine soot (lampblack) and water."
<http://purl.obolibrary.org/obo/ENVO_01001109>	"Karman vortex street"	"A succession of swirling vortices caused by the unsteady separation of flow of a fluid around one or more blunt bodies."
<http://purl.obolibrary.org/obo/ENVO_00000437>	"Nye channel"	"A small tunnel valley."
<http://purl.obolibrary.org/obo/ENVO_01000299>	"Taylor column"	"A Taylor column is a column of deflected fluid flow which is formed in a perturbed, rotating fluid, is parallel to the axis of rotation, and extends above the obstacle perturbing the fluid in a rigid manner."
<http://purl.obolibrary.org/obo/ENVO_01001461>	"UNEP-WCMC class 1 mountain"	"A high-elevation mountain which has a maximum elevation greater than 4500 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001462>	"UNEP-WCMC class 2 mountain"	"A high-elevation mountain which has a maximum elevation between 3500 and 4500 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001463>	"UNEP-WCMC class 3 mountain"	"A high-elevation mountain which has a maximum elevation between 2500 and 3500 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001464>	"UNEP-WCMC class 4 mountain"	"A mid-elevation mountain which has a maximum elevation between 1500 and 2499 metres above sea level and a slope greater than or equal to two degrees."
<http://purl.obolibrary.org/obo/ENVO_01001465>	"UNEP-WCMC class 5 mountain"	"A mid-elevation mountain which has a maximum elevation between 1000 and 1499 metres above sea level and either 1) a slope greater than or equal to five degrees or 2) a local elevation range, within a 7 kilometre radius, of greater than 300 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001466>	"UNEP-WCMC class 6 mountain"	"A mid-elevation mountain which has a maximum elevation between 300 and 999 metres above sea level and a local elevation range, within a 7 kilometre radius, of greater than 300 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001467>	"UNEP-WCMC class 7 mountain"	"An elevated inner basin or plateau surrounded by mountains, but not - itself - a mountain."
<http://purl.obolibrary.org/obo/ENVO_06105117>	"abandoned fishing gear"	"Fishing gear which is not under the control of or maintained by its custodian."
<http://purl.obolibrary.org/obo/ENVO_00000524>	"abandoned watercourse"	"A former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns."
