?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_03510014>	"India ink"	"A black or colored ink which is 1) used for writing, printing, and drawing and 2) made from fine soot (lampblack) and water."
<http://purl.obolibrary.org/obo/ENVO_06105117>	"abandoned fishing gear"	"Fishing gear which is not under the control of or maintained by its custodian."
<http://purl.obolibrary.org/obo/ENVO_03510026>	"acrylic paint medium"	"A liquid, gel, or paste that can be mixed into acrylic paint to alter paint consistency and properties."
<http://purl.obolibrary.org/obo/ENVO_01001825>	"active anaerobic enrichment culturing unit"	"An active enrichment culturing unit which contains environmental material maintained under conditions with no free oxygen."
<http://purl.obolibrary.org/obo/ENVO_01001822>	"active enrichment culturing unit"	"An enrichment culturing unit which contains environmental material bearing ecological assemblages undergoing selection through experimentally imposed conditions."
<http://purl.obolibrary.org/obo/ENVO_01001826>	"active sulphate-reducing enrichment culturing unit"	"An active enrichment culturing unit which contains environmental material maintained under conditions that favour the reduction of sulphate."
<http://purl.obolibrary.org/obo/ENVO_00002870>	"adobe"	"A natural building material mode from sand, clay, water, and some kind of fibrous or organic material (sticks, straw, and/or manure)."
<http://purl.obolibrary.org/obo/ENVO_00002126>	"aerobic bioreactor"	"A bioreactor in which the contained material is well-oxygenated."
<http://purl.obolibrary.org/obo/ENVO_00002210>	"aerobic sulfide-oxidizing bioreactor"	"An aerobic bioreactive which contains microbial communities capable of sulfide oxidation."
<http://purl.obolibrary.org/obo/ENVO_00002874>	"air conditioning unit"	"A manufactuered product which is capable of removing heat and controlling the humidity of the air within a site."
<http://purl.obolibrary.org/obo/ENVO_00003968>	"air filter"	"An air filter is a device that removes some substance from air."
<http://purl.obolibrary.org/obo/ENVO_03501208>	"air vent"	"A manufactured product consisting of a duct opening which allows air to circulate."
<http://purl.obolibrary.org/obo/ENVO_01001488>	"aircraft"	"A vehicle which is able to travel through air in an atmosphere."
<http://purl.obolibrary.org/obo/ENVO_03501349>	"airplane"	"An aircraft which 1) has fixed wings and 2) is propelled by a thrust from a jet engine, propeller, or rocket engine."
<http://purl.obolibrary.org/obo/ENVO_03501103>	"ambulance"	"A motor vehicle which is equipped with medical equipment and can be used to transport humans to treatment facilities."
