?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001385>	"Bathymodiolus-dominated oceanic mussel reef"	
<http://purl.obolibrary.org/obo/ENVO_03510014>	"India ink"	
<http://purl.obolibrary.org/obo/ENVO_01001109>	"Karman vortex street"	
<http://purl.obolibrary.org/obo/ENVO_00000437>	"Nye channel"	
<http://purl.obolibrary.org/obo/ENVO_01000299>	"Taylor column"	
<http://purl.obolibrary.org/obo/ENVO_01001461>	"UNEP-WCMC class 1 mountain"	
<http://purl.obolibrary.org/obo/ENVO_01001462>	"UNEP-WCMC class 2 mountain"	
<http://purl.obolibrary.org/obo/ENVO_01001463>	"UNEP-WCMC class 3 mountain"	
<http://purl.obolibrary.org/obo/ENVO_01001464>	"UNEP-WCMC class 4 mountain"	
<http://purl.obolibrary.org/obo/ENVO_01001465>	"UNEP-WCMC class 5 mountain"	
<http://purl.obolibrary.org/obo/ENVO_01001466>	"UNEP-WCMC class 6 mountain"	
<http://purl.obolibrary.org/obo/ENVO_01001467>	"UNEP-WCMC class 7 mountain"	
<http://purl.obolibrary.org/obo/ENVO_06105117>	"abandoned fishing gear"	
<http://purl.obolibrary.org/obo/ENVO_00000524>	"abandoned watercourse"	
<http://purl.obolibrary.org/obo/ENVO_00000190>	"abyssal feature"	
<http://purl.obolibrary.org/obo/ENVO_00000244>	"abyssal plain"	
<http://purl.obolibrary.org/obo/ENVO_00002120>	"acid hot spring"	
<http://purl.obolibrary.org/obo/ENVO_00001997>	"acid mine drainage"	
<http://purl.obolibrary.org/obo/ENVO_03510026>	"acrylic paint medium"	
<http://purl.obolibrary.org/obo/ENVO_01001825>	"active anaerobic enrichment culturing unit"	
<http://purl.obolibrary.org/obo/ENVO_01001822>	"active enrichment culturing unit"	
<http://purl.obolibrary.org/obo/ENVO_01000669>	"active geological fault"	
<http://purl.obolibrary.org/obo/ENVO_01001826>	"active sulphate-reducing enrichment culturing unit"	
<http://purl.obolibrary.org/obo/ENVO_00002870>	"adobe"	
<http://purl.obolibrary.org/obo/ENVO_01001105>	"aeolian lake"	
<http://purl.obolibrary.org/obo/ENVO_00002126>	"aerobic bioreactor"	
<http://purl.obolibrary.org/obo/ENVO_01000755>	"aeroform"	
<http://purl.obolibrary.org/obo/ENVO_01000986>	"agricultural fairground"	
<http://purl.obolibrary.org/obo/ENVO_00000114>	"agricultural field"	
<http://purl.obolibrary.org/obo/ENVO_00000519>	"agricultural terrace"	
<http://purl.obolibrary.org/obo/ENVO_00002874>	"air conditioning unit"	
<http://purl.obolibrary.org/obo/ENVO_00003968>	"air filter"	
<http://purl.obolibrary.org/obo/ENVO_01001488>	"aircraft"	
<http://purl.obolibrary.org/obo/ENVO_00000438>	"alas"	
<http://purl.obolibrary.org/obo/ENVO_2000004>	"algal bloom"	
<http://purl.obolibrary.org/obo/ENVO_00002119>	"alkaline hot spring"	
<http://purl.obolibrary.org/obo/ENVO_00002121>	"alkaline salt lake"	
<http://purl.obolibrary.org/obo/ENVO_00005745>	"allotment garden"	
<http://purl.obolibrary.org/obo/ENVO_00000314>	"alluvial fan"	
<http://purl.obolibrary.org/obo/ENVO_00000258>	"alluvial plain"	
<http://purl.obolibrary.org/obo/ENVO_01000100>	"along-front current"	
<http://purl.obolibrary.org/obo/ENVO_00000451>	"amenity lake"	
<http://purl.obolibrary.org/obo/ENVO_01000284>	"amictic lake"	
<http://purl.obolibrary.org/obo/ENVO_00000152>	"anabranch"	
<http://purl.obolibrary.org/obo/ENVO_00002124>	"anaerobic bioreactor"	
<http://purl.obolibrary.org/obo/ENVO_00002125>	"anaerobic dechlorinating bioreactor"	
<http://purl.obolibrary.org/obo/ENVO_00002213>	"anaerobic sludge blanket reactor"	
<http://purl.obolibrary.org/obo/ENVO_01000367>	"anchialine cave"	
<http://purl.obolibrary.org/obo/ENVO_01000368>	"anchialine pool"	
<http://purl.obolibrary.org/obo/ENVO_01000439>	"andesitic volcano"	
<http://purl.obolibrary.org/obo/ENVO_01000922>	"animal cage"	
<http://purl.obolibrary.org/obo/ENVO_01001120>	"animal manure product"	
<http://purl.obolibrary.org/obo/ENVO_01000975>	"animal trap"	
<http://purl.obolibrary.org/obo/ENVO_01000607>	"animal-drawn cart"	
<http://purl.obolibrary.org/obo/ENVO_01001072>	"anoxic lake"	
<http://purl.obolibrary.org/obo/ENVO_00002204>	"anthropogenic contamination feature"	
<http://purl.obolibrary.org/obo/ENVO_00000002>	"anthropogenic geographic feature"	
<http://purl.obolibrary.org/obo/ENVO_00000530>	"apron"	
<http://purl.obolibrary.org/obo/ENVO_00000072>	"aquaduct"	
<http://purl.obolibrary.org/obo/ENVO_00002196>	"aquarium"	
<http://purl.obolibrary.org/obo/ENVO_03510062>	"aqueous inkjet printer ink"	
<http://purl.obolibrary.org/obo/ENVO_00000220>	"archipelago"	
<http://purl.obolibrary.org/obo/ENVO_00000429>	"arete"	
<http://purl.obolibrary.org/obo/ENVO_00000538>	"arrugado"	
<http://purl.obolibrary.org/obo/ENVO_00000121>	"artificial channel"	
<http://purl.obolibrary.org/obo/ENVO_00000464>	"artificial harbor"	
<http://purl.obolibrary.org/obo/ENVO_00000377>	"artificial lake"	
<http://purl.obolibrary.org/obo/ENVO_00000149>	"artificial reef"	
<http://purl.obolibrary.org/obo/ENVO_00000399>	"ash cone"	
<http://purl.obolibrary.org/obo/ENVO_00000165>	"asphalt lake"	
<http://purl.obolibrary.org/obo/ENVO_01000813>	"astronomical body part"	
<http://purl.obolibrary.org/obo/ENVO_03000118>	"atmosphere and water column exposed melt pond"	
<http://purl.obolibrary.org/obo/ENVO_03000050>	"atmosphere-exposed melt pond"	
<http://purl.obolibrary.org/obo/ENVO_01000300>	"atmospheric Taylor column"	
<http://purl.obolibrary.org/obo/ENVO_01000675>	"atmospheric column"	
<http://purl.obolibrary.org/obo/ENVO_01000911>	"automated teller machine"	
<http://purl.obolibrary.org/obo/ENVO_03510002>	"automatic transmission fluid"	
<http://purl.obolibrary.org/obo/ENVO_00002277>	"back-arc basin"	
<http://purl.obolibrary.org/obo/ENVO_00000472>	"backwater"	
<http://purl.obolibrary.org/obo/ENVO_00000127>	"badland"	
<http://purl.obolibrary.org/obo/ENVO_00000315>	"bajada"	
<http://purl.obolibrary.org/obo/ENVO_01000873>	"ballast tank"	
<http://purl.obolibrary.org/obo/ENVO_00000141>	"bank"	
<http://purl.obolibrary.org/obo/ENVO_00000167>	"bar"	
<http://purl.obolibrary.org/obo/ENVO_01000521>	"batholith"	
<http://purl.obolibrary.org/obo/ENVO_01000991>	"bathtub fixture"	
<http://purl.obolibrary.org/obo/ENVO_01000573>	"battery-powered electric lamp"	
<http://purl.obolibrary.org/obo/ENVO_00000032>	"bay"	
<http://purl.obolibrary.org/obo/ENVO_00000234>	"bayou"	
<http://purl.obolibrary.org/obo/ENVO_00000091>	"beach"	
<http://purl.obolibrary.org/obo/ENVO_00000529>	"beach ridge"	
<http://purl.obolibrary.org/obo/ENVO_00000270>	"beaver pond"	
<http://purl.obolibrary.org/obo/ENVO_01000592>	"bed base"	
<http://purl.obolibrary.org/obo/ENVO_01000591>	"bed frame"	
<http://purl.obolibrary.org/obo/ENVO_02000002>	"bedclothing"	
<http://purl.obolibrary.org/obo/ENVO_00000001>	"bedding-plane cave"	
<http://purl.obolibrary.org/obo/ENVO_01000589>	"bench"	
<http://purl.obolibrary.org/obo/ENVO_01000614>	"bicycle"	
<http://purl.obolibrary.org/obo/ENVO_00002152>	"biofilter"	
<http://purl.obolibrary.org/obo/ENVO_02000043>	"biological product"	
<http://purl.obolibrary.org/obo/ENVO_01001816>	"biomaterial containment unit"	
<http://purl.obolibrary.org/obo/ENVO_01001817>	"biomaterial culturing unit"	
<http://purl.obolibrary.org/obo/ENVO_00002123>	"bioreactor"	
<http://purl.obolibrary.org/obo/ENVO_01000817>	"biosphere"	
<http://purl.obolibrary.org/obo/ENVO_00000218>	"black smoker"	
<http://purl.obolibrary.org/obo/ENVO_01001775>	"blind thrust fault"	
<http://purl.obolibrary.org/obo/ENVO_00000168>	"blowhole"	
<http://purl.obolibrary.org/obo/ENVO_00000313>	"blowout"	
<http://purl.obolibrary.org/obo/ENVO_01000608>	"boat"	
<http://purl.obolibrary.org/obo/ENVO_01001476>	"body of liquid"	
<http://purl.obolibrary.org/obo/ENVO_00002226>	"borehole"	
<http://purl.obolibrary.org/obo/ENVO_00010624>	"botanical garden"	
<http://purl.obolibrary.org/obo/ENVO_00000537>	"boulder field"	
<http://purl.obolibrary.org/obo/ENVO_00002137>	"brackish estuary"	
<http://purl.obolibrary.org/obo/ENVO_00000540>	"brackish lake"	
<http://purl.obolibrary.org/obo/ENVO_00000541>	"brackish pond"	
<http://purl.obolibrary.org/obo/ENVO_01001321>	"brackish water body"	
<http://purl.obolibrary.org/obo/ENVO_03510001>	"brake fluid"	
<http://purl.obolibrary.org/obo/ENVO_01000475>	"brick"	
<http://purl.obolibrary.org/obo/ENVO_01000474>	"brick material"	
<http://purl.obolibrary.org/obo/ENVO_03000041>	"brine channel"	
<http://purl.obolibrary.org/obo/ENVO_00000369>	"brine pool"	
<http://purl.obolibrary.org/obo/ENVO_01000501>	"burnt brick"	
<http://purl.obolibrary.org/obo/ENVO_01000429>	"burrow"	
<http://purl.obolibrary.org/obo/ENVO_01000611>	"bus"	
<http://purl.obolibrary.org/obo/ENVO_00000287>	"butte"	
<http://purl.obolibrary.org/obo/ENVO_01000594>	"cabinet"	
<http://purl.obolibrary.org/obo/ENVO_00000567>	"calanque"	
<http://purl.obolibrary.org/obo/ENVO_00002143>	"calcite hot spring"	
<http://purl.obolibrary.org/obo/ENVO_00000096>	"caldera"	
<http://purl.obolibrary.org/obo/ENVO_01001061>	"caldera lake"	
<http://purl.obolibrary.org/obo/ENVO_01000935>	"campground"	
<http://purl.obolibrary.org/obo/ENVO_00000014>	"canal"	
<http://purl.obolibrary.org/obo/ENVO_00000378>	"canal head reservoir"	
<http://purl.obolibrary.org/obo/ENVO_00000522>	"canal tunnel"	
<http://purl.obolibrary.org/obo/ENVO_00000525>	"canalized stream"	
<http://purl.obolibrary.org/obo/ENVO_01000574>	"candle"	
<http://purl.obolibrary.org/obo/ENVO_00000169>	"canyon"	
<http://purl.obolibrary.org/obo/ENVO_01000605>	"car"	
<http://purl.obolibrary.org/obo/ENVO_01000606>	"cart"	
<http://purl.obolibrary.org/obo/ENVO_01000578>	"cassette player"	
<http://purl.obolibrary.org/obo/ENVO_00000067>	"cave"	
<http://purl.obolibrary.org/obo/ENVO_00000013>	"cave system"	
<http://purl.obolibrary.org/obo/ENVO_01001819>	"cell culturing unit"	
<http://purl.obolibrary.org/obo/ENVO_01000563>	"central-draught lamp"	
<http://purl.obolibrary.org/obo/ENVO_01000586>	"chair"	
<http://purl.obolibrary.org/obo/ENVO_03000117>	"channel"	
<http://purl.obolibrary.org/obo/ENVO_00000395>	"channel of a watercourse"	
<http://purl.obolibrary.org/obo/ENVO_01000979>	"channel of an intermittent river"	
<http://purl.obolibrary.org/obo/ENVO_01000980>	"channel of an intermittent stream"	
<http://purl.obolibrary.org/obo/ENVO_2000000>	"chemical product"	
<http://purl.obolibrary.org/obo/ENVO_01000529>	"chemical toilet fixture"	
<http://purl.obolibrary.org/obo/ENVO_01000632>	"chonolith"	
<http://purl.obolibrary.org/obo/ENVO_00000400>	"cinder cone"	
<http://purl.obolibrary.org/obo/ENVO_00000155>	"cirque"	
<http://purl.obolibrary.org/obo/ENVO_01000732>	"clastic dike"	
<http://purl.obolibrary.org/obo/ENVO_03510019>	"cleaning agent"	
<http://purl.obolibrary.org/obo/ENVO_00000526>	"cleft"	
<http://purl.obolibrary.org/obo/ENVO_00000087>	"cliff"	
<http://purl.obolibrary.org/obo/ENVO_01000596>	"clock"	
<http://purl.obolibrary.org/obo/ENVO_01000619>	"closed ecological system"	
<http://purl.obolibrary.org/obo/ENVO_02000058>	"cloth"	
<http://purl.obolibrary.org/obo/ENVO_03520004>	"cloud base"	
<http://purl.obolibrary.org/obo/ENVO_03520003>	"cloud part"	
<http://purl.obolibrary.org/obo/ENVO_03520005>	"cloud top"	
<http://purl.obolibrary.org/obo/ENVO_01000687>	"coast"	
<http://purl.obolibrary.org/obo/ENVO_00000416>	"coastal dune"	
<http://purl.obolibrary.org/obo/ENVO_01000711>	"coastal flood"	
<http://purl.obolibrary.org/obo/ENVO_00000137>	"coastal inlet"	
<http://purl.obolibrary.org/obo/ENVO_00000090>	"coastal plain"	
<http://purl.obolibrary.org/obo/ENVO_01001256>	"coastal shrimp pond"	
<http://purl.obolibrary.org/obo/ENVO_01000006>	"coastal upwelling"	
<http://purl.obolibrary.org/obo/ENVO_02000049>	"coastal water body"	
<http://purl.obolibrary.org/obo/ENVO_01000289>	"cold monomictic lake"	
<http://purl.obolibrary.org/obo/ENVO_01000291>	"cold polymictic lake"	
<http://purl.obolibrary.org/obo/ENVO_01000263>	"cold seep"	
<http://purl.obolibrary.org/obo/ENVO_01000102>	"cold surface current"	
<http://purl.obolibrary.org/obo/ENVO_01000571>	"cold-blast paraffin lantern"	
<http://purl.obolibrary.org/obo/ENVO_00000371>	"complex volcano"	
<http://purl.obolibrary.org/obo/ENVO_00002153>	"compost biofilter"	
<http://purl.obolibrary.org/obo/ENVO_01000550>	"composting toilet"	
<http://purl.obolibrary.org/obo/ENVO_01001784>	"compound astronomical body part"	
